district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,239017,32353,206675,193840,1438,2413,2046,264,763,1255,3146,1423,80,5642,3467,2783,201362,21637,179738,169666,1227,1816,1869,204,514,809,2628,942,56,4503,2810,2102
2,232829,51138,181667,149873,11759,2268,8653,275,1681,2993,2148,2015,30,4440,10661,14804,179201,31553,147624,125076,8886,1700,5955,252,1262,1488,1814,1171,34,3544,7128,10428
3,232803,16551,216281,195982,3478,1056,8095,70,958,1884,1609,2982,46,2716,11086,5388,190547,10772,179805,165803,2680,769,5907,96,516,982,1359,1554,47,2175,7457,3690
4,235545,25904,209628,184313,5065,1262,10034,574,778,2002,1396,4276,35,2687,14298,7087,194222,18691,175520,158509,3672,961,7262,450,445,1049,1034,2151,54,2048,9419,4763
5,218717,67301,151397,115255,15574,5568,5820,573,1329,3002,1616,2306,349,7532,8127,18921,176422,46450,129968,102361,11723,4299,5235,442,787,1929,1312,1594,288,5899,6826,13954
6,217659,20569,197114,56151,1701,127676,716,264,588,571,7956,639,984,136622,1347,3260,160781,13429,147356,45827,1335,93105,647,157,292,255,5018,411,439,98563,1052,2028
7,247765,44191,203598,179668,4619,7718,2651,224,887,1436,3993,2194,56,11859,4868,6103,205621,31601,174046,155738,3755,5662,2309,181,664,867,3219,1469,62,9017,3797,4678
8,225948,55440,170575,129512,15060,6877,7145,559,1707,3794,1751,3274,871,9504,10423,19735,191793,41380,150444,117340,11515,5689,6499,553,1295,3081,1410,2657,413,7512,9156,15003
9,214211,69165,145028,116340,10362,4726,3765,425,1327,3614,2597,1664,208,7531,5429,14185,160597,42963,117624,96733,8075,3394,3472,278,803,1851,1530,1331,152,5077,4803,10079
10,227859,36844,191019,169153,6553,1250,4919,424,1021,2492,2225,2818,145,3620,7737,9190,183319,24566,158755,143201,4913,1196,3879,268,527,1366,1698,1618,83,2977,5497,6362
11,212419,112920,99486,45667,36228,4365,6043,643,975,2508,905,1283,948,6223,7335,39685,152051,73215,78823,39351,26595,3586,4977,496,460,1623,685,784,295,4569,5768,28512
12,230953,43904,187049,145313,11777,4289,14453,688,1871,2985,1533,3954,186,6008,18407,14948,182658,30524,152134,122055,9260,3044,11100,394,751,1786,1109,2428,207,4360,13528,11253
13,221327,43850,177481,133576,11946,2601,19831,337,1569,2529,1459,3372,263,4316,23199,14738,171306,28702,142594,111781,8840,1980,14519,224,938,1160,1008,1901,258,3247,16403,10257
14,245777,42589,203183,169736,7663,1809,12547,114,1643,2724,2209,4465,285,4310,17016,10672,172099,26430,145680,123318,5890,1082,9458,107,1102,1058,1350,2090,210,2641,11565,7159
15,258198,52444,205736,177178,9326,1719,5595,668,1415,3741,2522,3370,265,4465,8967,13335,186146,32733,153397,133316,7390,1374,4522,410,863,1633,1820,1880,242,3403,6402,9264
16,246499,84219,162234,114072,15691,16568,3515,1337,1595,3007,4379,1379,569,21445,4894,19278,188810,56635,132104,96964,12118,12451,2887,1216,793,1266,3262,640,452,16111,3517,13842
17,242523,49795,192825,168956,6788,1076,6628,203,1379,2601,2137,2769,106,3277,9457,9499,193721,34775,158990,142560,4968,754,5278,204,850,1294,1459,1549,80,2282,6844,6348
18,234800,51717,183085,155477,8443,1969,7151,269,1314,2206,2623,3440,352,4985,10586,10973,196900,37912,158998,137862,6901,1641,6089,210,693,1509,1930,2019,246,3841,8104,8633
19,227894,65061,162865,142842,6326,1716,3470,348,1412,2294,2274,2086,161,4043,5523,8780,180526,44324,136209,120765,5445,1442,3027,282,844,1250,1691,1382,106,3159,4398,6798
20,220871,112302,108464,83879,5876,6527,5112,427,987,1653,1674,2053,247,8453,7153,7778,177078,79682,97357,77256,4604,4807,4700,241,692,1530,1476,1827,190,6468,6527,6332
21,223130,126486,96600,74646,10199,2257,3238,343,1303,1431,1852,1147,215,4464,4361,11864,163574,85225,78334,61978,7575,1939,2492,192,889,949,1183,858,203,3418,3345,8739
22,225897,131711,94111,51991,27554,2561,5251,226,1588,2274,1045,1306,198,3803,6553,30051,153913,82213,71688,42414,19165,1809,4295,196,1014,1117,864,731,45,2722,5030,20326
23,214656,126309,88428,62313,8338,10164,2421,239,581,1736,1452,1018,102,11810,3441,10174,154625,82656,72039,52375,6734,7690,1961,236,431,794,805,835,77,8638,2795,7604
24,195038,122444,72569,45672,13302,3008,4211,153,1053,2854,1422,655,289,4725,4866,16419,130304,71791,58477,39703,9791,2320,3151,156,524,1406,711,469,255,3289,3621,11449
25,259410,94598,164825,136696,11509,2662,3806,200,1468,3125,2698,2614,169,5479,6415,14807,192503,59232,133277,112940,9320,1873,3293,164,788,1711,1679,1559,57,3575,4848,11090
26,191736,111481,80274,48156,14527,3942,5969,449,977,2120,2225,1181,735,6895,7147,17389,129757,65124,64651,41622,10354,3022,4553,303,820,1218,1600,598,575,5194,5144,12153
27,230676,59104,171572,141928,8941,2615,7434,217,1821,3317,2304,2626,361,5280,10059,12619,179784,38688,141096,119194,7210,2105,6031,209,916,1719,1899,1482,326,4330,7511,9255
28,225568,21806,203775,181087,5066,1019,7426,196,1621,3280,1655,2353,63,2735,9779,8409,185408,15253,170166,155554,4297,785,5305,178,648,890,1174,1275,46,2004,6581,5233
29,246905,63688,183266,150682,12796,1967,5663,685,2274,4584,1818,2602,174,3959,8268,17549,189202,40764,148461,124689,10414,1697,4300,581,1270,2428,1373,1548,178,3249,5845,13019
30,238870,38499,200307,184145,2485,3745,1974,472,723,1445,3839,1352,152,7671,3329,4068,200357,27178,173134,160458,2228,3083,1728,339,600,698,2944,894,132,6112,2626,3051
