district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,620976,76.82,3.23,12.77,1.22,3.12,0.19,0.35
2,District 2,634795,61.61,2.31,14.13,17.55,1.01,0.19,0.33
3,District 3,469134,29.35,11.95,50.94,2.2,2.56,0.19,0.44
4,District 4,588261,64.41,5.17,20.69,1.72,4.12,0.24,0.55
5,District 5,597626,72.34,3.54,15.32,0.7,4.65,0.11,0.48
6,District 6,635355,68.82,3.4,21.18,0.76,2.58,0.21,0.42
7,District 7,545968,37.27,3.88,51.73,2.81,1.76,0.1,0.39
8,District 8,598977,71.78,3.84,16.93,1.0,3.23,0.12,0.49
9,District 9,633495,64.51,4.54,24.71,1.15,1.82,0.2,0.45
