statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
04,001,04001,Apache County,47969
04,003,04003,Cochise County,94527
04,005,04005,Coconino County,112726
04,007,04007,Gila County,43147
04,009,04009,Graham County,28618
04,011,04011,Greenlee County,6787
04,012,04012,La Paz County,13173
04,013,04013,Maricopa County,3206007
04,015,04015,Mohave County,179599
04,017,04017,Navajo County,80008
04,019,04019,Pima County,800536
04,021,04021,Pinal County,347036
04,023,04023,Santa Cruz County,29832
04,025,04025,Yavapai County,200289
04,027,04027,Yuma County,133858
