district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,758553,117747,640797,551516,26747,9703,25605,1450,3369,7574,5098,9289,457,15266,34907,34761,620976,79319,541654,477013,20040,7590,19361,1202,2191,4572,4107,5166,414,12116,24524,25021
2,802193,134022,668063,456488,19031,152667,7367,1491,3656,4313,16673,4697,1538,170964,12079,24886,634795,89666,545020,391127,14691,111437,6399,1181,2116,2399,11839,2919,842,124179,9333,17927
3,677839,392490,285322,157087,78373,13032,14426,1050,3661,8063,3550,4297,1856,18410,18728,88303,469134,238991,230113,137706,56056,10323,12017,896,2046,4615,2587,2865,960,13849,14882,61624
4,745002,181351,563632,445560,39223,13149,29497,2115,5803,10821,6699,9638,1107,20955,39135,51151,588261,121685,466590,378914,30399,10123,24228,1407,3216,6414,4662,6620,629,15413,30848,37442
5,805280,143295,661956,555463,27602,5797,36978,954,4433,9896,7654,12486,813,14208,49462,38313,597626,91558,506042,432308,21174,4166,27806,675,2841,4464,5398,6589,710,10230,34405,26352
6,786437,191877,594654,509233,27139,5903,19642,1511,4658,8927,8411,8592,809,14982,28221,36852,635355,134545,500862,437245,21583,4845,16366,1326,2654,4937,6171,5226,635,11551,21567,27130
7,727703,415953,311805,233266,27467,20267,11414,888,2883,4373,6210,4169,654,27326,15599,32520,545968,282433,263628,203488,21185,15339,9635,570,2134,2960,4484,3168,467,20440,12838,24636
8,758545,155134,603482,506888,28626,7578,26206,881,5356,11447,7473,8004,915,15992,34198,40990,598977,101386,497627,429948,22984,5991,19330,711,2958,4808,5591,4502,785,12391,23829,28584
9,823948,242514,581406,488598,36182,9297,14447,1526,4789,10043,8694,7444,495,18396,21869,46715,633495,156515,476953,408660,28768,7261,11558,1251,2835,5547,6205,4592,366,13758,16121,34688
